country_official,country_code,max_year,tfp_avg,count,total_weight,Pillar_1_Regulatory_Framework,Pillar_2_Public_Services,Pillar_3_Operational_Efficiency
Pakistan,PAK,2022.0,1.6298107340867174,1300.0,115020.50956606863,59.06,44.97,65.9
West Bank and Gaza,WBG,2023.0,1.1445317853383254,360.0,6891.057033658028,47.47,28.42,52.75
Bangladesh,BGD,2022.0,0.8119797225028179,998.0,8745.606115937233,56.94,41.64,70.49
Sierra Leone,SLE,2023.0,0.7805815008902878,209.0,1366.2224779129028,54.05,30.73,52.51
Mexico,MEX,2023.0,0.7028535818519516,1322.0,484464.2191154957,74.99,57.25,61.73
Chad,TCD,2023.0,0.6864443649858701,164.0,1464.0389240980148,61.15,23.51,48.05
Nepal,NPL,2023.0,0.6615374522333182,582.0,49104.60228466988,59.3,49.29,72.21
Rwanda,RWA,2023.0,0.5915286173259067,358.0,2576.061516880989,70.43,67.37,81.31
Lesotho,LSO,2023.0,0.5694468458542712,150.0,442.1332437992096,54.87,37.89,66.06
"Gambia, The",GMB,2023.0,0.5684329979746022,162.0,616.0715529918671,53.34,20.11,48.44
Slovak Republic,SVK,2023.0,0.5482781772342847,464.0,15951.043249607086,77.35,68.17,71.14
Estonia,EST,2023.0,0.524551652403081,351.0,4043.5691781044006,72.89,73.31,80.28
Tanzania,TZA,2023.0,0.4719317466869361,600.0,40307.21105778217,65.07,51.56,62.15
Croatia,HRV,2023.0,0.4642386971738845,474.0,13246.69342470169,73.53,70.24,68.31
Greece,GRC,2023.0,0.4432136437101217,598.0,19194.14411985874,75.65,64.4,58.98
Romania,ROM,2023.0,0.4312927747016453,947.0,39106.77546954155,76.24,63.19,65.74
Morocco,MAR,2023.0,0.430849158088369,598.0,58474.93247675896,68.85,58.66,59.66
Mauritius,MUS,2023.0,0.4000297145135754,353.0,1352.5402388572693,64.57,56.28,69.79
Botswana,BWA,2023.0,0.3757586655338538,622.0,4857.06816136837,65.96,48.52,67.73
Georgia,GEO,2023.0,0.3687281382994766,592.0,6097.553293347359,77.74,63.33,84.75
Philippines,PHL,2023.0,0.3645512877711739,1002.0,103889.46002793312,70.78,50.8,57.95
Iraq,IRQ,2022.0,0.3541564992268866,1019.0,4259.129143238068,49.28,21.45,46.79
Peru,PER,2023.0,0.3433121342254062,987.0,18097.77541053295,69.61,59.76,56.2
Singapore,SGP,2023.0,0.3314752292130891,623.0,59049.65040206909,72.46,70.4,87.33
Portugal,PRT,2023.0,0.3305641388947388,1007.0,42879.29104208946,78.16,69.53,70.8
Cambodia,KHM,2023.0,0.3265149278541995,519.0,14128.533759593964,62.83,39.14,60.66
North Macedonia,MKD,2023.0,0.3175733022231752,354.0,4405.46539247036,69.96,53.56,75.81
Bulgaria,BGR,2023.0,0.3124731072278426,710.0,23785.247232198715,76.33,64.03,74.82
Montenegro,MNE,2023.0,0.2995587107031487,151.0,3072.8148481845856,72.54,48.92,71.03
Kyrgyz Republic,KGZ,2023.0,0.2917244016633636,354.0,1345.8444981575012,65.33,41.23,74.71
Hungary,HUN,2023.0,0.2837398227418817,831.0,26276.67889380455,78.34,69.5,70.68
El Salvador,SLV,2023.0,0.2565686977718491,729.0,3939.721621751785,60.41,45.36,54.53
Colombia,COL,2023.0,0.2424256753505444,919.0,26311.923755645752,76.6,66.28,66.38
Togo,TGO,2023.0,0.2302968311708085,148.0,574.303016781807,69.03,49.58,64.36
Barbados,BRB,2023.0,0.2298544260653668,153.0,766.0577194690704,58.77,46.4,66.55
Bosnia and Herzegovina,BIH,2023.0,0.2142226809494689,351.0,5089.744662165642,67.44,37.81,70.05
Samoa,WSM,2023.0,0.211138132732222,157.0,772.5488576889038,57.11,40.04,68.32
Ghana,GHA,2023.0,0.195382631182009,713.0,8886.588693022728,66.83,47.67,54.42
Timor-Leste,TMP,2021.0,0.190581127344975,238.0,676.2711131572723,46.21,23.8,44.83
Paraguay,PRY,2023.0,0.1524003751053216,378.0,8246.685611367226,60.89,50.68,60.6
Costa Rica,CRI,2023.0,0.1189867361809819,357.0,12625.999855041504,71.34,63.58,53.66
New Zealand,NZL,2023.0,0.1148231635607307,358.0,30097.81091785431,67.51,68.91,76.39
Madagascar,MDG,2022.0,0.0923569058443985,402.0,4973.214871644974,57.28,31.64,52.29
Indonesia,IDN,2023.0,0.0499355053490054,2955.0,211828.9355928898,63.93,63.44,61.31
Vanuatu,VUT,2023.0,0.0197977120538334,111.0,222.5850874185562,50.48,32.06,43.94
Central African Republic,CAF,2023.0,0.0111518801558633,151.0,4909.790805101395,60.99,18.35,40.36
"Hong Kong SAR, China",HKG,2023.0,0.0080174821004981,598.0,62043.13461875916,72.47,62.64,78.52
Seychelles,SYC,2023.0,0.0,103.0,507.3820440769196,58.83,37.21,63.57
