country_official,country_code,max_year,tfp_avg,count,total_weight,Business_Entry_Overall,Business_Location_Overall,Utility_Services_Overall,Labor_Overall,Financial_Services_Overall,International_Trade_Overall,Taxation_Overall,Dispute_Resolution_Overall,Market_Competition_Overall,Business_Insolvency_Overall
Pakistan,PAK,2022.0,1.6298107340867174,1300.0,115020.50956606863,91.5,54.25,59.21,53.45,67.97,45.56,57.48,41.99,46.24,48.79
West Bank and Gaza,WBG,2023.0,1.1445317853383254,360.0,6891.057033658028,62.47,55.05,57.76,53.14,44.6,48.91,33.09,36.51,25.29,11.99
Bangladesh,BGD,2022.0,0.8119797225028179,998.0,8745.606115937233,74.08,66.91,62.1,64.01,61.45,53.71,56.36,41.9,42.65,40.39
Sierra Leone,SLE,2023.0,0.7805815008902878,209.0,1366.2224779129028,48.44,46.36,60.54,69.02,41.57,37.58,41.45,42.26,30.17,40.26
Mexico,MEX,2023.0,0.7028535818519516,1322.0,484464.2191154957,61.53,61.81,76.79,59.74,84.31,63.51,65.56,67.69,51.69,53.93
Chad,TCD,2023.0,0.6864443649858701,164.0,1464.0389240980148,47.48,41.04,43.46,55.67,44.26,43.05,43.39,49.23,32.52,42.24
Nepal,NPL,2023.0,0.6615374522333182,582.0,49104.60228466988,66.36,60.51,65.39,65.7,70.58,66.64,57.99,64.4,33.06,52.04
Rwanda,RWA,2023.0,0.5915286173259067,358.0,2576.061516880989,85.39,72.01,67.76,60.15,69.28,82.36,66.31,82.87,64.02,80.2
Lesotho,LSO,2023.0,0.5694468458542712,150.0,442.1332437992096,76.44,45.93,56.05,62.69,54.3,61.17,60.19,50.1,25.53,37.02
"Gambia, The",GMB,2023.0,0.5684329979746022,162.0,616.0715529918671,46.61,33.42,36.43,49.22,42.2,38.51,39.01,50.69,26.76,43.47
Slovak Republic,SVK,2023.0,0.5482781772342847,464.0,15951.043249607086,85.62,71.13,86.42,70.87,65.53,81.07,49.85,78.31,60.81,72.59
Estonia,EST,2023.0,0.524551652403081,351.0,4043.5691781044006,90.75,80.4,72.72,68.89,61.54,85.76,70.72,80.24,64.69,79.22
Tanzania,TZA,2023.0,0.4719317466869361,600.0,40307.21105778217,69.15,53.62,78.73,63.95,57.28,60.32,61.57,63.46,48.29,39.56
Croatia,HRV,2023.0,0.4642386971738845,474.0,13246.69342470169,78.72,76.24,76.77,75.6,63.28,84.9,39.86,71.84,63.24,76.48
Greece,GRC,2023.0,0.4432136437101217,598.0,19194.14411985874,96.58,57.49,69.3,64.71,58.63,87.21,56.02,65.61,64.18,43.71
Romania,ROM,2023.0,0.4312927747016453,947.0,39106.77546954155,79.5,69.56,67.61,62.76,73.42,85.97,50.61,74.42,61.06,59.0
Morocco,MAR,2023.0,0.430849158088369,598.0,58474.93247675896,76.73,77.39,76.64,59.1,62.66,75.26,47.69,43.67,58.14,46.58
Mauritius,MUS,2023.0,0.4000297145135754,353.0,1352.5402388572693,75.58,68.64,41.48,76.6,60.17,74.43,69.22,51.32,57.03,61.02
Botswana,BWA,2023.0,0.3757586655338538,622.0,4857.06816136837,92.5,56.78,60.85,63.51,69.3,68.1,50.88,56.06,50.92,38.45
Georgia,GEO,2023.0,0.3687281382994766,592.0,6097.553293347359,80.08,83.01,73.08,83.46,74.97,76.96,68.51,82.09,54.93,75.65
Philippines,PHL,2023.0,0.3645512877711739,1002.0,103889.46002793312,48.49,60.27,66.47,75.54,60.7,71.78,56.66,62.88,50.13,45.51
Iraq,IRQ,2022.0,0.3541564992268866,1019.0,4259.129143238068,52.22,48.47,54.19,53.66,44.05,41.78,29.4,39.87,21.38,6.74
Peru,PER,2023.0,0.3433121342254062,987.0,18097.77541053295,63.22,64.89,65.3,64.61,78.41,50.15,49.97,56.61,63.76,61.66
Singapore,SGP,2023.0,0.3314752292130891,623.0,59049.65040206909,93.57,78.24,81.76,66.83,73.33,80.11,70.39,71.08,62.29,89.69
Portugal,PRT,2023.0,0.3305641388947388,1007.0,42879.29104208946,92.67,70.17,78.2,73.66,72.01,75.57,52.86,72.41,61.52,79.24
Cambodia,KHM,2023.0,0.3265149278541995,519.0,14128.533759593964,43.8,49.0,64.45,68.44,86.03,57.33,58.6,61.76,33.09,19.63
North Macedonia,MKD,2023.0,0.3175733022231752,354.0,4405.46539247036,90.83,55.68,78.44,70.4,73.42,65.39,46.84,61.1,62.26,60.09
Bulgaria,BGR,2023.0,0.3124731072278426,710.0,23785.247232198715,92.08,71.51,81.1,68.72,68.56,75.83,59.96,68.78,64.34,66.4
Montenegro,MNE,2023.0,0.2995587107031487,151.0,3072.8148481845856,79.72,66.55,73.63,63.25,63.16,67.39,44.04,68.79,53.12,61.96
Kyrgyz Republic,KGZ,2023.0,0.2917244016633636,354.0,1345.8444981575012,64.83,67.37,71.92,54.35,70.62,60.99,46.59,62.54,52.7,52.31
Hungary,HUN,2023.0,0.2837398227418817,831.0,26276.67889380455,85.81,73.52,64.45,81.87,80.7,78.6,59.35,75.2,63.17,65.75
El Salvador,SLV,2023.0,0.2565686977718491,729.0,3939.721621751785,45.86,61.9,65.57,56.19,70.99,61.8,43.03,61.45,49.52,18.01
Colombia,COL,2023.0,0.2424256753505444,919.0,26311.923755645752,88.62,72.38,74.99,62.08,75.19,54.36,57.71,72.85,64.84,74.49
Togo,TGO,2023.0,0.2302968311708085,148.0,574.303016781807,77.26,67.76,65.04,56.45,53.64,60.88,58.68,69.48,41.24,59.45
Barbados,BRB,2023.0,0.2298544260653668,153.0,766.0577194690704,78.23,44.39,62.81,69.64,61.37,57.41,52.34,61.63,39.17,45.42
Bosnia and Herzegovina,BIH,2023.0,0.2142226809494689,351.0,5089.744662165642,55.73,63.83,59.58,69.87,56.41,68.6,46.92,49.92,52.23,61.23
Samoa,WSM,2023.0,0.211138132732222,157.0,772.5488576889038,73.39,60.1,65.03,70.24,52.09,51.29,56.94,47.82,51.16,23.52
Ghana,GHA,2023.0,0.195382631182009,713.0,8886.588693022728,40.99,60.39,68.52,68.57,59.86,55.99,56.78,54.85,32.19,64.93
Timor-Leste,TMP,2021.0,0.190581127344975,238.0,676.2711131572723,49.92,40.31,60.19,56.91,24.82,48.61,48.89,36.47,16.69,0.0
Paraguay,PRY,2023.0,0.1524003751053216,378.0,8246.685611367226,53.92,60.5,53.64,66.23,63.9,64.51,55.27,62.27,48.34,45.33
Costa Rica,CRI,2023.0,0.1189867361809819,357.0,12625.999855041504,71.08,72.99,70.22,58.73,66.14,73.69,42.22,59.91,68.55,45.09
New Zealand,NZL,2023.0,0.1148231635607307,358.0,30097.81091785431,84.64,80.38,63.0,79.95,85.04,70.14,71.74,61.07,53.87,59.52
Madagascar,MDG,2022.0,0.0923569058443985,402.0,4973.214871644974,62.35,42.44,35.04,50.68,50.66,54.48,51.66,47.71,39.9,35.77
Indonesia,IDN,2023.0,0.0499355053490054,2955.0,211828.9355928898,63.72,68.09,70.55,72.2,56.51,64.43,59.91,64.24,52.34,56.96
Vanuatu,VUT,2023.0,0.0197977120538334,111.0,222.5850874185562,44.08,51.63,51.14,54.37,41.24,41.41,50.21,43.04,23.01,21.44
Central African Republic,CAF,2023.0,0.0111518801558633,151.0,4909.790805101395,46.26,44.98,53.02,49.95,33.98,34.44,23.28,38.46,33.84,40.81
"Hong Kong SAR, China",HKG,2023.0,0.0080174821004981,598.0,62043.13461875916,85.49,71.17,77.71,68.81,69.96,91.0,70.56,72.67,57.8,46.91
Seychelles,SYC,2023.0,0.0,103.0,507.3820440769196,54.49,57.83,53.77,72.71,56.07,61.35,58.35,37.84,35.9,43.72
